Peru,121,111,176,61,61,173,125,129,85,144,117,116,106,355,298,159,323,134,119,174,83,187,109,180,357,97,320,142,335,128
Pittsfield,3654,5778,5349,4120,3920,6065,3585,9592,3542,9291,6264,6387,3920,16269,11493,8636,14722,5309,4492,7835,3474,8425,3828,8728,12775,4310,10167,8846,12284,6490
Richmond,260,448,413,292,342,368,232,488,261,439,358,332,187,771,620,343,770,189,209,513,203,480,187,536,597,231,577,308,589,293
Sandisfield,103,127,131,98,79,149,103,157,77,131,125,80,163,271,289,136,287,133,127,181,110,178,132,169,348,89,310,135,310,132
Savoy,71,125,121,73,50,146,81,125,69,118,86,105,120,280,236,166,262,134,108,119,86,135,120,107,273,74,232,118,229,115
Sheffield,448,623,639,425,442,625,317,954,451,695,630,503,442,1368,1205,599,1339,458,419,791,316,840,401,805,1343,362,1140,627,1227,525
Stockbridge,305,609,456,438,496,390,229,680,320,513,489,333,243,967,842,364,1004,203,241,601,196,589,207,627,804,229,787,352,804,329
Tyringham,61,116,112,66,80,100,45,143,46,120,94,76,58,215,171,97,199,69,75,140,89,108,66,149,179,67,150,102,147,101
Washington,75,152,141,92,91,140,107,139,78,153,121,108,68,279,220,124,240,104,87,175,78,172,84,178,237,68,214,94,208,100
W. Stockbridge,258,334,333,259,276,322,160,487,216,326,289,232,259,626,594,289,700,176,196,430,171,395,176,420,649,177,641,214,506,235
Williamstown,638,1722,1128,1300,1259,1145,962,1758,934,1592,1427,1087,586,3049,2396,1214,2812,797,598,2037,518,2048,500,2175,2634,702,2600,1078,2703,984
Windsor,141,191,217,115,131,200,152,241,112,248,191,164,142,411,330,215,385,160,139,233,108,239,137,228,382,131,366,145,347,163
Acushnet,1577,1669,2304,1144,597,2799,1323,2517,1128,2534,1619,2060,1417,3881,2972,2395,2310,3050,2074,1603,1546,2198,1802,2065,3682,799,1879,3221,2969,2062
Attleboro,5507,5037,7801,2770,1816,8963,4623,7613,3580,8199,5173,6606,6533,11905,11729,6761,8942,9480,6939,5317,5094,7086,6331,6350,14497,2340,8539,9758,11683,6506
Berkley,859,828,1413,539,263,1661,841,1239,590,1412,834,1166,1096,2036,1970,1138,987,2123,1497,886,1242,1071,1324,1056,2633,393,1531,1692,2049,1163
Dartmouth,4009,4914,5862,3226,2067,6969,4195,6241,3369,6370,4186,5698,4220,12053,9682,6628,8370,7862,5537,5696,4632,6649,4899,6818,11826,1953,6949,8671,9846,5527
Dighton,958,990,1500,548,298,1741,834,1450,539,1635,876,1304,1060,2459,2065,1457,1161,2358,1601,1014,1405,1225,1379,1327,2904,435,1552,1980,2212,1314
Easton,3948,4061,6017,2280,1677,6537,3003,5599,2668,5402,3492,4634,4003,7830,7326,4496,4194,7595,5275,3607,5296,3343,4509,4314,9235,1369,5447,6159,7096,4503
Fairhaven,1745,2562,2651,1666,1370,2958,2045,3588,1803,3499,2361,2978,2238,6006,4970,3265,3975,4158,3194,2822,2249,3522,2701,3313,6372,1040,3647,4209,5138,2666
Fall River,8135,8757,10062,7605,2217,14787,6516,11355,5460,12019,8607,8863,7276,21639,16733,12145,12634,16019,9104,8419,7683,10169,7864,10689,18380,4255,10028,17181,15932,10339
Freetown,1364,1301,1918,852,487,2230,1353,1821,933,2108,1305,1761,1475,3220,2930,1799,1944,2779,1960,1385,1561,1848,1734,1772,3624,599,2138,2420,2927,1604
Mansfield,3370,3599,5392,1949,1490,5729,3263,4737,2490,5099,3364,4220,3838,7410,7125,4103,4962,6231,5093,3564,4178,4115,4206,4419,9658,1325,5646,5978,7299,4270
New Bedford,8897,10668,11828,8323,3746,15952,7679,13709,6706,13381,10005,9908,7972,23734,18935,12934,15095,16615,9652,10502,7430,13292,8989,12487,21619,4984,11613,19343,19251,11279
N. Attleborough,4274,4066,6286,2176,1491,6971,3394,5792,2882,5972,3704,5112,5098,8723,8883,5008,6563,7262,5818,3709,4356,5137,5140,4738,10589,1648,6445,7477,8752,5047
Norton,2463,2493,3907,1333,980,4234,2464,3475,1754,3906,2388,3277,3029,5750,5691,3070,3582,5131,3946,2702,3361,3089,3330,3299,7395,1024,4282,4594,5745,3096
Raynham,1903,1926,3033,1041,661,3397,1666,2846,1224,3003,1788,2426,2183,4652,3988,2835,1407,5410,3254,1996,2543,2516,2726,2510,5628,796,2932,3798,3983,2712
Rehoboth,1894,1360,2508,834,601,2685,1456,2387,1084,2593,1221,2472,2326,3679,3779,2291,2760,3297,2440,1822,2074,2160,2261,2126,4525,826,2950,3121,3905,2118
