Barnstable,9894,14636,16210,8562,15831,8841,11913,7352,7812,11260,9961,9802,19139,3114,12029,12649,14622,9806,10824,7157,4848,13646,7988,10321,9317,8968,9092,15870,12839,12910,20361,5352,12432,13463,6538,15338,14373,7187,13618,8152
Bourne,3837,6047,6424,3468,5498,4323,5094,2925,3534,4203,4258,3731,7072,1727,4905,5099,5874,4041,4299,3038,1562,5873,2934,4472,3636,3742,4947,5444,4701,6075,8346,2430,5273,5583,2608,6500,5836,3098,5361,3691
Brewster,2239,4066,4310,2099,4346,2019,2730,2153,1798,3121,2167,2887,4988,725,3421,2859,3857,2386,2596,2189,1530,3335,2519,2284,2637,2138,1861,4600,3003,3638,5323,1314,3221,3468,2109,3759,4276,1566,4138,1735
Chatham,1815,2805,3089,1604,3267,1404,2153,1526,1393,2318,1800,1981,3552,515,2408,2046,2599,1826,1876,1544,1079,2459,1944,1560,1710,1767,1211,3214,2293,2213,3570,938,1928,2611,1092,2939,2734,1253,2729,1284
Dennis,3373,5769,5930,3409,5798,3476,4492,2774,2791,4435,3487,3938,6961,1004,4281,4656,5057,3799,3736,2996,1692,5239,2855,4004,3576,3241,3238,5678,4031,5179,7317,1840,4237,5028,2605,5599,5553,2516,5377,2781
Eastham,1290,2463,2511,1266,2560,1188,1572,1382,1040,1936,1203,1864,2869,347,1970,1639,2228,1349,1339,1383,999,1799,1401,1374,1630,1115,1089,2480,1609,2033,2950,693,1876,1783,1205,2024,2415,807,2390,851
Falmouth,6490,12401,12259,6613,11651,7071,8313,7036,7527,7456,6661,8677,14654,2261,10026,8899,11575,7216,7440,6549,4254,9861,6682,7351,7994,6001,6126,13263,8580,11204,15654,4109,9640,10290,5468,11647,11987,4861,11535,5506
Harwich,2721,4975,4858,2952,5185,2624,3553,2586,2341,3892,2894,3516,6352,938,4031,3888,4645,3193,3307,2554,1738,4247,2719,3193,3156,2735,2785,5431,3527,4897,6575,1805,4002,4461,2363,5066,5098,2247,4938,2453
Mashpee,3163,4549,5068,2804,4784,3064,3755,2215,2580,3529,3156,3104,6029,1036,3829,4247,4627,3346,3419,2339,1295,4666,2416,3500,3054,2849,2999,5496,4268,4556,6973,1815,4126,4749,2450,5225,5044,2499,4716,2901
Orleans,1630,2810,3015,1517,3282,1242,1762,1729,1242,2378,1551,2161,3566,484,2496,1901,2693,1675,1696,1643,1282,2136,2059,1335,1850,1521,1042,3342,2262,2224,3678,808,2229,2297,1343,2672,2858,1113,2867,1128
Provincetown,757,1557,1942,339,1772,473,623,1135,572,1131,458,1303,2027,207,1802,500,1939,349,563,1022,767,844,692,904,1039,446,836,1445,982,1296,2097,219,1717,537,957,1122,1811,252,1912,161
Sandwich,5039,6809,7568,4264,7181,4579,6330,3633,4310,5225,5269,4651,9625,1443,5789,6371,6913,5252,5681,3257,1997,7036,3830,5154,4549,4394,4569,7727,5834,6797,9824,2794,5849,6846,3277,7385,6983,3509,6260,4355
Truro,444,978,1098,316,1068,329,551,646,392,783,420,783,1263,127,989,444,1089,340,447,648,416,680,545,541,602,384,440,1099,650,894,1327,225,963,546,603,830,1128,278,1170,252
Wellfleet,712,1441,1697,451,1536,579,795,982,576,1136,671,1099,1892,215,1489,703,1645,536,738,880,710,932,949,683,998,518,620,1565,974,1235,1845,365,1431,764,915,1067,1634,349,1609,379
